region,valor_original,n_iniciativas,categoria,comunas_matcheadas(cut),nota
VIII,Alto Biobío;Arauco;Cabrero;Cañete;Chiguayante;Concepción;Contulmo;Coronel;Curanilahue;Florida;Hualpén;Lebu;Los Ángeles;Mulchén;Nacimiento;Quilaco;San Pedro de la Paz;Santa Bárbara Santa Juana;Talcahuano;Tomé;Tucapel;Yumbel,1,multi_completo,Alto Biobío:8314; Arauco:8202; Cabrero:8303; Cañete:8203; Chiguayante:8103; Concepción:8101; Contulmo:8204; Coronel:8102; Curanilahue:8205; Florida:8104; Hualpén:8112; Lebu:8201; Los Angeles:8301; Mulchén:8305; Nacimiento:8306; Quilaco:8308; San Pedro de la Paz:8108; Santa Bárbara:8311; Santa Juana:8109; Talcahuano:8110; Tomé:8111; Tucapel:8312; Yumbel:8313,
VIII,Sin información comunal consolidada;cobertura proyectada regional,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
VIII,Coronel;Lota;Santa Bárbara,1,multi_completo,Coronel:8102; Lota:8106; Santa Bárbara:8311,
VIII,Talcahuano;San Vicente;Penco,1,multi_completo,Talcahuano:8110; San Vicente:6117; Penco:8107,San Vicente: OTRA REGIÓN (codregion 6)
VIII,Concepción- Hualpen,1,multi_completo,Concepción:8101; Hualpén:8112,
VIII,STA BAARBARA,1,match_fuzzy_alias,Santa Bárbara:8311,
VIII,Concepción- Talcahuano,1,multi_completo,Concepción:8101; Talcahuano:8110,
VIII,FLORIDA,1,match_directo,Florida:8104,
VIII,Curanilahue;Nacimiento,1,multi_completo,Curanilahue:8205; Nacimiento:8306,
VIII,Tomé y Concepción,1,multi_completo,Tomé:8111; Concepción:8101,
X,Puerto Montt,12,match_directo,Puerto Montt:10101,
X,Castro,5,match_directo,Castro:10201,
X,Osorno,5,match_directo,Osorno:10301,
X,Chiloé;Palena,4,multi_completo,Palena:10404,"""Chiloé"" es provincia/agrupación"
X,Puerto Varas,4,match_directo,Puerto Varas:10109,
X,Hualaihue,2,match_directo,Hualaihué:10403,
X,Ancud,2,match_directo,Ancud:10202,
X,Cochamo,2,match_directo,Cochamó:10103,
X,Puerto Montt;Osorno,2,multi_completo,Puerto Montt:10101; Osorno:10301,
X,Puyehue,2,match_directo,Puyehue:10304,
X,Chiloé,2,bucket_regional,,provincia/agrupación → bucket
X,Quellon,2,match_directo,Quellón:10208,
X,Puqueldon,1,match_directo,Puqueldón:10206,
X,Dalcahue,1,match_directo,Dalcahue:10205,
X,San Juan De La Costa,1,match_directo,San Juan de la Costa:10306,
X,Palena;Cochamó;Futaleufú;Hualaihué,1,multi_completo,Palena:10404; Cochamó:10103; Futaleufú:10402; Hualaihué:10403,
X,Palena;Hualaihué,1,multi_completo,Palena:10404; Hualaihué:10403,
X,Puerto Montt;Osorno;Castro,1,multi_completo,Puerto Montt:10101; Osorno:10301; Castro:10201,
X,Calbuco,1,match_directo,Calbuco:10102,
X,San Juan De La Costa;Río Negro;Fresia;Los Muermos;Maullín,1,multi_completo,San Juan de la Costa:10306; Río Negro:10305; Fresia:10104; Los Muermos:10106; Maullín:10108,
X,Ancud;Castro;Chonchi,1,multi_completo,Ancud:10202; Castro:10201; Chonchi:10203,
X,Palena;Futaleufú,1,multi_completo,Palena:10404; Futaleufú:10402,
X,San Pablo,1,match_directo,San Pablo:10307,
X,Llanquihue,1,match_directo,Llanquihue:10107,
X,Palena,1,match_directo,Palena:10404,
X,Maullin,1,match_directo,Maullín:10108,
